composer,title,instrumentation,parts,genre,collection,notes
"Cunningham, Phil",The Gentle Light that Wakes Me,violin,violin,folk,,
"Djawadi, Ramin",Westworld (Main Title Theme),piano,piano,popular culture,,MusicScore
"Shore, Howard","Concerning Hobbits (Lord of the Rings, LOTR)",violin,violin,popular culture,,
Traditional,Shenandoah,violin-voice-piano,violin-voice-piano,folk,,2 copies
"Pärt, Arvo",Spiegel im Spiegel,violin-piano,violin-piano,"minimalist, modern",yes,
"Beethoven, Ludwig van",Sonatine for Mandolin and Piano,mandolin-piano,mandolin,classical,,
"Joplin, Scott",The Entertainer,violin-viola-cello-piano,violin-viola-cello,"modern, entertaining",,
"Telemann, Georg Philipp",12 Fantasies for Violin solo,violin,violin,baroque,yes,
"Händel, George Frederic",Presto from Sonata for Flute op. 1 no. 9,violin-piano,violin-piano,baroque,Baroque Violinist,
"Hotteterre, Jacques",Allemande La Royalle,violin-piano,violin-piano,baroque,Baroque Violinist,
"Hotteterre, Jacques",Gavotte la Meudon,violin-piano,violin-piano,baroque,Baroque Violinist,
"Telemann, Georg Philipp",Largo & Allegro from Sonata in G-major,violin-piano,violin-piano,baroque,Baroque Violinist,
"Vivaldi, Antonio",Largo from Winter (The Four Seasons),violin-piano,violin-piano,baroque,Baroque Violinist,
"Corelli, Arcangelo",Preludio & Allemanda from Sonata in e-minor op.5 no.8,violin-piano,violin-piano,baroque,Baroque Violinist,
"Mascitti, Michele","Giga found in Prelleur's Modern Musick-Master, 1731",violin-piano,violin-piano,baroque,Baroque Violinist,
"Stanley, John",Siciliana & Allegro from Sonata in a-minor op.4 no.1,violin-piano,violin-piano,baroque,Baroque Violinist,
"Bach, Johann Sebastian",Allegro from Sonata in b-minor,violin-piano,violin-piano,baroque,Baroque Violinist,
"Vodicka, Vaclav",Siciliana,violin-piano,violin-piano,baroque,Baroque Violinist,
"Lecrair, Jean Marie","Sarabande & Allegro from Sonata in d-minor, op.1 no.10",violin-piano,violin-piano,baroque,Baroque Violinist,
"Veracini, Francesco Maria","Giga from Sonata Academic in e-minor, op.2 no.8",violin-piano,violin-piano,baroque,Baroque Violinist,
"Gibbs, Joseph","Aria with Five Variations from Sonata in d-minor, op.1 no.1",violin-piano,violin-piano,baroque,Baroque Violinist,
"Purcell, Hendry",Largo & Allegro from Sonata in g-minor,violin-piano,violin-piano,baroque,Baroque Violinist,
"Cohen, Leonard",Hallelujah,voice-piano,voice-piano,baroque,yes,
"Eller, Heino",Kodumaine Viis (Domestic Melody),violin I-violin II-viola-cello,violin I,romantic,,
"Grieg, Edward","In the Hall of the Mountain King from ""Peer Gynt""",violin-viola-cello-piano,violin-viola-cello,"romantic, entertaining",,
"Bach, Johann Sebastian","Jesus Bleibet Meine Freude (Jesu, Joy of Man's Desiring)",violin-viola-cello-piano,violin-viola-cello,baroque,,
"Weidig, Adolf",Trio,violin-viola-piano,violin,romantic,,
"Tchaikovsky, Pyotr Ilyich","March from ""The Nutcracker""",violin-viola-cello-piano,violin-viola-cello,romantic,,
"Fuchs, Robert",Sieben Phantasiestücke (Seven Fantasy Pieces),violin-viola-piano,violin,romantic,,
"Fine, Elaine",Skye Boat Fantasie,violin-viola-piano,violin,"folk, contemporary",,
"Mozart, Wolfgang Amadeus","Clarinet Quintett in A-major, op. 108 B (K. 581)",clarinet-violin I-violin II-viola-cello,violin I,classical,,
"Piazolla, Astor","Autumn from ""The Four Seasons""",violin-cello-piano,violin,tango,,
"Vanhal, Johann Baptist",Trios,clarinet-violin-cello,violin,classical,,
Traditional,Happy Birthday,violin I-violin II-viola-cello,score,entertaining,,
"Piazolla, Astor","Winter from ""The Four Seasons""",violin-cello-piano,violin-cello,tango,,
"Faure, Gabriel","Pavane, op. 50",violin-viola-cello-piano,violin-viola-cello,"romantic, entertaining",,
"Saint-Saëns, Camille","The Swan from ""Carnival of the Animals""",violin-viola-cello-piano,violin-viola-cello,"romantic, entertaining",,
Traditional,Twelve Days of Christmas,violin-piano,score,christmas,,
Traditional,O Christmas Tree (O Tannenbaum),violin-piano,score,christmas,,
Traditional,Joy to the World,violin-piano,score,christmas,,
"Bruce, David",Jingle Bells Boogie,violin-piano,score,christmas,,
"Gruber, Franz",Silent Night,violin-piano,score,christmas,,
Traditional,Deck the Halls with Boughs of Holly,violin-piano,score,christmas,,
"Fuchs, Oscar","3 Salonstücke, op.29",violin-viola or cello-piano,violin,romantic,,https://imslp.org/wiki/3_Salonstücke%2C_Op.29_(Fuchs%2C_Oscar)
"Halvorsen, Johan",Passacaglia after Händel's Suite for Harpsichord,violin-viola,violin,"baroque, romantic",,
"Ravel, Maurice",Bolero,violin-viola-cello-piano,violin-viola-cello-score,"romantic, entertaining",,
"Wohlfart, Franz",Easy Fantasie on two Christmas Songs,violin I-violin II-piano,violin I-violin II-piano,christmas,,
"Gibbons, Orlando",Madrigals and Motets for Five Voices: No. 1 The Silver Swan,voices-piano,score,"renessanss, choral",,3 copies
"Gio, Matt",Tag,violin I-violin II-viola-cello-clarinet-cor anglais,violin I-violin II-viola-cello-clarinet-cor anglais,contemporary,,
"Bridge, Frank","And Irish Melody: The ""Londonderry"" Air",violin I-violin II-viola-cello,violin I-violin II,"folk, modern",,
"Dubois, Theodore",Quintette,violin I-oboe or violin II-viola-cello-piano,violin I-oboe or violin II-viola-cello-piano,modern,,
"Eller, Heino",Männid (Pines),violin-piano,violin-piano,romantic,yes,
Christmas Songs,"Jingle Bells, O Christmas Tree, Way in a Manger, Deck the Halls, Hark ! the herald-angels sing, We wish you a Merry Christmas, Silent Night",violin-viola-cello-piano,violin-viola-cello,christmas,,
"Blake, Howard",Walking in the Air,violin-piano,violin-piano,christmas,,
